Visit #,Start Time,End Time,Ship,Length Of Stay,Ship Type,Cargo Type Name,Visit Shipping Line Name,Stevedore,GT,LOA,Arrival Berth Name,Arrival Berth Code,Departure Berth Name,Departure Berth Code
PEV-18-001159,4/5/18 12:45,4/6/18 16:25,OVERSEAS NEW YORK,1d4h,TANKER,PETROLEUM,OSG Ship Management,Valero Marketing & Supply Co.,29242,601.0792,13,13,13,13
PEV-18-001294,4/5/18 12:55,4/5/18 18:55,YACHT AURORA,6h,YACHT,FOR BUNKERS ONLY/STORES,Owner (Misc Vessel) Not Listed.,STEVEDORE NOT REQUIRED,2113,242.794,3,3,3,3
PEV-18-001293,4/5/18 14:15,4/5/18 22:50,CHARLOTTE,9h,GENERAL CARGO,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",2035,297.2586,31,31,31,31
PEV-18-001239,4/5/18 15:30,4/5/18 21:35,VANTAGE,6h,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,3871,328.0016,16,16,16,16
PEV-18-001296,4/5/18 21:10,4/6/18 19:45,TUG GULF VENTURE,23h,TUG,ETHANOL,"Transmontaigne Product Services, Inc.",TransMontaigne Operating Company L.P.,701,122.004,9,9,9,9
PEV-18-001295,4/5/18 21:10,4/6/18 19:45,BARGE GULF CARRIER,23h,TANK BARGE,ETHANOL,"Transmontaigne Product Services, Inc.",TransMontaigne Operating Company L.P.,6402,481,9,9,9,9
PEV-18-000957,4/5/18 21:45,4/6/18 7:55,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-001095,4/6/18 4:10,4/7/18 13:25,BARGE EMI 1151,1d9h,CEMENT CARRIER,SLAG,LEHIGH CEMENT COMPANY,Lehigh Cement,3631,360,14,14,14,14
PEV-18-001094,4/6/18 4:10,4/7/18 13:25,TUG DUTY,1d9h,TUG,SLAG,LEHIGH CEMENT COMPANY,Lehigh Cement,332,102.0391,14,14,14,14
PEV-18-001276,4/6/18 5:15,4/6/18 19:05,CHIQUITA EXPRESS,14h,CONTAINER SHIP,CONTAINER,"Chiquita Fresh North America, LLC","Florida International Terminal, LLC",27059,695.0798,30,30,30,30
PEV-18-000986,4/6/18 6:25,4/6/18 15:15,MAERSK OHIO,9h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida Stevedoring, Inc.",50686,958.3145,32,32,32,32
PEV-18-001281,4/6/18 7:05,4/7/18 19:35,MELBOURNE STRAIT,1d13h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",21018,589.4316,31,31,31,31
PEV-18-001136,4/6/18 7:20,4/6/18 20:00,SILVER WIND,13h,PASSENGER SHIP,CRUISE - MULTI-DAY,Silversea Cruises,Ceres Marine Terminals Inc.,17235,511.2126,19,19,19,19
PEV-18-001313,4/6/18 8:10,4/6/18 23:20,CARIBE MARINER,15h,CONTAINER SHIP,LAY-IN,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,2899,325.7049,11,11,11,11
PEV-18-001202,4/6/18 11:20,4/7/18 17:30,AMERICAN LIBERTY,1d6h,TANKER,PETROLEUM,Nordsud Shipping,"Marathon Petroleum Company, LLC",29801,601.4401,7,7,7,7
PEV-18-001249,4/6/18 15:30,4/6/18 22:00,PELAGIC EXPRESS,7h,GENERAL CARGO,CONTAINER,Seacor Marine Inc.,H. T. Shipping Inc and Hybur Ltd.,1867,266.9094,15,15,15,15
PEV-18-001186,4/6/18 18:05,4/8/18 9:15,OVERSEAS NIKISKI,1d15h,TANKER,JET FUEL,OSG Ship Management,Valero Marketing & Supply Co.,29242,601.0792,13,13,13,13
PEV-18-001246,4/6/18 21:35,4/8/18 3:35,TEXAS VOYAGER,1d6h,TANKER,GASOLINE,Chevron USA,Chevron USA,29923,610.266,9,9,9,9
PEV-18-000958,4/6/18 21:40,4/7/18 8:10,JAUME I,11h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-001316,4/7/18 4:35,4/7/18 18:55,K-BREEZE,14h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
PEV-18-001286,4/7/18 5:10,4/7/18 15:05,ALLEGRO,10h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",2984,323.7691,32,32,32,32
PEV-18-001137,4/7/18 6:10,4/7/18 16:35,HARMONY OF THE SEAS,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,226963,1188.1157,18,18,18,18
PEV-18-001141,4/7/18 7:00,4/7/18 16:20,NIEUW AMSTERDAM,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Holland America Line-Westours, Inc.","Florida Stevedoring, Inc.",86273,936.0693,26,26,26,26
PEV-18-001235,4/7/18 8:20,4/7/18 21:45,TABEA,13h,CONTAINER SHIP,CONTAINER,Hapag Lloyd,"Florida International Terminal, LLC",66280,904.8998,30,30,30,30
PEV-18-001314,4/7/18 10:15,4/9/18 13:15,USCGC BEAR WMEC 901,2d3h,USCG,U.S. COAST GUARD,U S Coast Guard,STEVEDORE NOT REQUIRED,1820,270,6,6,6,6
PEV-18-001315,4/7/18 12:40,4/8/18 10:10,PAVO J,22h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,32,32,32,32
PEV-18-001334,4/7/18 21:05,4/8/18 8:35,DOLE CALIFORNIA,12h,CONTAINER SHIP,CONTAINER,Dole Fresh Fruit International LTD.,"Sun Terminals, Inc.",16488,586.8069,31,31,31,31
PEV-18-000959,4/7/18 21:55,4/8/18 7:55,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-001176,4/7/18 23:20,4/8/18 13:05,MAERSK WOLFSBURG,14h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida International Terminal, LLC",18123,574.5031,30,30,30,30
PEV-18-001022,4/8/18 5:35,4/8/18 16:00,EURODAM,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,Holland America Line,"Florida Stevedoring, Inc.",86273,936.4958,19,19,19,19
PEV-18-001025,4/8/18 6:10,4/8/18 16:10,REGAL PRINCESS,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",142714,1082.73,2,2,2,2
PEV-18-001147,4/8/18 6:15,4/8/18 19:00,FREEDOM OF THE SEAS,13h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,154407,1111.5044,29,29,29,29
PEV-18-001011,4/8/18 6:25,4/8/18 16:40,ALLURE OF THE SEAS,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,225282,1181.16,18,18,18,18
PEV-18-001019,4/8/18 6:55,4/8/18 16:30,CELEBRITY SILHOUETTE,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,Celebrity Cruises,Eller-I.T.O. Stevedoring Company L.L.C.,122210,1033.515,26,26,26,26
PEV-18-001143,4/8/18 7:00,4/8/18 15:55,CARNIVAL CONQUEST,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,Carnival Corporation,"Florida Stevedoring, Inc.",110239,952.1462,4,4,4,4
PEV-18-001283,4/8/18 8:35,4/9/18 17:40,JO REDWOOD,1d9h,TANKER,JET FUEL,Straits Tankers PTE LTD,"Motiva Enterprises, LLC",43053,750.0366,9,9,9,9
PEV-18-001322,4/8/18 10:55,4/9/18 3:10,PALANCA MONTEVIDEO,16h,TANKER,ASPHALT,Wisby Tankers,"Transmontaigne Product Services, Inc.",22840,600.423,8,8,8,8
PEV-18-001331,4/8/18 12:55,4/8/18 22:30,REGULA,10h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",7219,435.3887,33A,33A,33A,33A
PEV-18-001227,4/8/18 18:45,4/12/18 6:10,INDUSTRIAL GUIDE,3d11h,GENERAL CARGO,YACHTS LOAD ON-OFF,Projekt Schiff 2 Gmbh & Co. & Kg.,"Host Terminals, LLC",17634,553.2094,21,21,14,14
PEV-18-000992,4/8/18 18:50,4/11/18 3:15,HAPPY DYNAMIC,2d8h,GENERAL CARGO,YACHTS LOAD ON-OFF,Happy Dinamic-Rederij-Netherlands,"Host Terminals, LLC",14784,514.8873,22,22,22,22
PEV-18-001332,4/8/18 19:25,4/9/18 9:10,VEGA SACHSEN,14h,GENERAL CARGO,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",9957,484.9646,32,32,33A,33A
PEV-18-001305,4/8/18 20:10,4/9/18 16:30,CARIBE MARINER,20h,CONTAINER SHIP,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,2899,325.7049,16,16,16,16
PEV-18-001333,4/8/18 20:45,4/9/18 11:45,TUG CROSBY LIGHT,15h,TUG,PROPANE,Targa Downstream Services LLC,Targa Downstream Services LLC,233,102.9906,11,11,11,11
PEV-18-001335,4/8/18 20:45,4/9/18 11:45,BARGE APACHE,15h,TANK BARGE,PROPANE,Targa Downstream Services LLC,Targa Downstream Services LLC,3550,285,11,11,11,11
PEV-18-000960,4/8/18 22:00,4/10/18 8:00,JAUME I,1d10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-001297,4/9/18 0:35,4/10/18 10:20,GOLDEN STATE,1d10h,TANKER,PETROLEUM,"Crowley Petroleum Transport, Inc.",Valero Marketing & Supply Co.,29527,600.423,13,13,13,13
PEV-18-001352,4/9/18 1:35,4/9/18 9:25,AGENA,8h,GENERAL CARGO,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",2528,284.0034,31,31,31,31
PEV-18-001085,4/9/18 3:15,4/9/18 18:10,MSC MARTA,15h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",65483,901.1923,32,32,32,32
PEV-18-001342,4/9/18 4:30,4/12/18 2:35,HTC DELTA,2d22h,BULK CARRIER,STEEL,Bulk Atlantic,Portus-PEV LLC,32987,623.3572,29,29,29,29
PEV-18-001203,4/9/18 6:10,4/9/18 16:15,ROYAL PRINCESS,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",142714,1082.73,2,2,2,2
PEV-18-001205,4/9/18 6:45,4/9/18 16:00,SERENADE OF THE SEAS,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,90090,961.9892,19,19,19,19
PEV-18-001087,4/9/18 7:30,4/9/18 21:00,POSEIDON LEADER,14h,VEHICLES CARRIER,AUTOMOBILES,NYK Line North America Inc.,"Coleary Transport Co.,Inc",63001,656.0031,26,26,26,26
